# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
2015:553	2015-09-03	sfs-2015-553	Förordning (2015:553) om statsbidrag till informatörsverksamhet som rör psykisk ohälsa och psykiska funktionsnedsättningar
2015:555	2015-09-03	sfs-2015-555	Förordning (2015:555) om statliga kreditgarantier för lån till mjölksektorn
2015:565	2015-09-10	sfs-2015-565	Förordning (2015:565) om statsbidrag till verksamhet för demokratisk delaktighet genom lokala resurscenter
2015:566	2015-09-10	sfs-2015-566	Förordning (2015:566) om försöksverksamhet med lämplighetsbedömning vid antagning till lärar- och förskollärarutbildning
2015:574	2015-09-24	sfs-2015-574	Förordning (2015:574) om uppräkningsfaktorer vid beräkning av preliminära kommunalskattemedel för 2016
2015:575	2015-10-01	sfs-2015-575	Åklagardataförordning (2015:575)
2015:579	2015-10-01	sfs-2015-579	Förordning (2015:579) om stöd för att främja hållbara stadsmiljöer
2015:58	2015-02-19	sfs-2015-58	Förordning (2015:58) om föreskrifter rörande försäljning och förstöring av fordon
2015:594	2015-10-22	sfs-2015-594	Förordning (2015:594) om fastställande av omräknade belopp för vägavgift för år 2016
2015:595	2015-10-22	sfs-2015-595	Förordning (2015:595) om fastställande av omräknade belopp för energiskatt och koldioxidskatt för år 2016
2015:596	2015-10-22	sfs-2015-596	Förordning (2015:596) om fastställande av omräknade belopp för tobaksskatt för år 2016
2015:602	2015-10-29	sfs-2015-602	Lag (2015:602) om överlämnande av allmänna handlingar för förvaring
2015:605	2015-10-29	sfs-2015-605	Förordning (2015:605) om överlämnande av allmänna handlingar för förvaring
2015:61	2015-02-19	sfs-2015-61	Förordning (2015:61) om statligt stöd inom det nationella socialfondsprogrammet
2015:610	2015-10-29	sfs-2015-610	Förordning (2015:610) om en särskild åtgärd för att stödja jordbrukare inom sektorn för animalieproduktion
2015:613	2015-10-29	sfs-2015-613	Förordning (2015:613) om militär grundutbildning
2015:615	2015-11-05	sfs-2015-615	Lag (2015:615) om avtal mellan Sverige och Niue om utbyte av upplysningar i skatteärenden
2015:616	2015-11-05	sfs-2015-616	Lag (2015:616) om avtal mellan Sverige och Brunei om utbyte av upplysningar i skatteärenden
2015:62	2015-02-19	sfs-2015-62	Lag (2015:62) om identifiering av rapporteringspliktiga konton med anledning av FATCA-avtalet
2015:63	2015-02-19	sfs-2015-63	Lag (2015:63) om utbyte av upplysningar med anledning av FATCA-avtalet
2015:632	2015-11-12	sfs-2015-632	Lag (2015:632) om talan om skattetillägg i vissa fall
2015:642	2015-11-12	sfs-2015-642	Lag (2015:642) om europeisk skyddsorder
2015:646	2015-11-12	sfs-2015-646	Förordning (2015:646) om europeisk skyddsorder
2015:650	2015-11-12	sfs-2015-650	Lag (2015:650) om erkännande och verkställighet av frivårdspåföljder inom Europeiska unionen
2015:652	2015-11-12	sfs-2015-652	Förordning (2015:652) om erkännande och verkställighet av frivårdspåföljder inom Europeiska unionen
2015:665	2015-11-12	sfs-2015-665	Förordning (2015:665) om statliga myndigheters användning av Statens servicecenters tjänster
2015:666	2015-11-12	sfs-2015-666	Lag (2015:666) om skatteavtal mellan Sverige samt Storbritannien och Nordirland
2015:671	2015-11-12	sfs-2015-671	Lag (2015:671) om alternativ tvistlösning i konsumentförhållanden
2015:677	2015-11-19	sfs-2015-677	Förordning (2015:677) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2016
2015:70	2015-02-19	sfs-2015-70	Förordning (2015:70) om identifiering av rapporteringspliktiga konton med anledning av FATCA-avtalet
2015:72	2015-02-19	sfs-2015-72	Förordning (2015:72) om utbyte av upplysningar med anledning av FATCA-avtalet
2015:728	2015-11-19	sfs-2015-728	Domstolsdatalag (2015:728)
2015:729	2015-11-19	sfs-2015-729	Domstolsdataförordning (2015:729)
2015:736	2015-11-19	sfs-2015-736	Förordning (2015:736) om statsbidrag till kostnader för utbildning i Sverige för utlandssvenska elever
2015:739	2015-11-19	sfs-2015-739	Förordning (2015:739) med instruktion för Allmänna reklamationsnämnden
2015:743	2015-11-26	sfs-2015-743	Förordning (2015:743) med instruktion för Åklagarmyndigheten
2015:744	2015-11-26	sfs-2015-744	Förordning (2015:744) med instruktion för Ekobrottsmyndigheten
2015:745	2015-11-26	sfs-2015-745	Förordning (2015:745) om rådet för skydd av Europeiska unionens finansiella intressen
2015:770	2015-11-26	sfs-2015-770	Förordning (2015:770) om ränta för år 2016 enligt 4 a § lagen (1997:484) om dröjsmålsavgift
2015:799	2015-11-26	sfs-2015-799	Förordning (2015:799) om ränta på studielån för 2016
2015:801	2015-11-26	sfs-2015-801	Förordning (2015:801) om internationella skolor
2015:812	2015-11-26	sfs-2015-812	Lag (2015:812) om rapportering av betalningar till myndigheter
2015:827	2015-11-26	sfs-2015-827	Förordning (2015:827) om rapportering av betalningar till myndigheter
2015:847	2015-12-03	sfs-2015-847	Förordning (2015:847) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för år 2016
2015:848	2015-12-03	sfs-2015-848	Förordning (2015:848) om statsbidrag för särskilda främjande- och utvecklingsinsatser i syfte att påskynda nyanlända invandrares etablering på arbetsmarknaden
2015:859	2015-12-03	sfs-2015-859	Förordning (2015:859) om ränta vid betalningsskyldighet för underhållsstöd för år 2016
2015:860	2015-12-03	sfs-2015-860	Lag (2015:860) om internationella säkerhetsrätter i lösa saker
2015:881	2015-12-02	sfs-2015-881	Försäkringskassans föreskrifter (2015:881) om procenttal för ändring av vissa underhållsbidrag
2015:898	2015-12-10	sfs-2015-898	Lag (2015:898) om behandling av personuppgifter i Skatteverkets äktenskapsregister- och bouppteckningsverksamheter
2015:899	2015-12-10	sfs-2015-899	Lag (2015:899) om identitetskort för folkbokförda i Sverige
2015:902	2015-12-10	sfs-2015-902	Lag (2015:902) om ändring i lagen (2001:182) om behandling av personuppgifter i Skatteverkets folkbokföringsverksamhet
2015:904	2015-12-10	sfs-2015-904	Förordning (2015:904) om identitetskort för folkbokförda i Sverige
2015:905	2015-12-10	sfs-2015-905	Förordning (2015:905) om behandling av personuppgifter i Skatteverkets äktenskapsregister- och bouppteckningsverksamheter
2015:911	2015-12-10	sfs-2015-911	Lag (2015:911) om identifiering av rapporteringspliktiga konton vid automatiskt utbyte av upplysningar om finansiella konton
2015:912	2015-12-10	sfs-2015-912	Lag (2015:912) om automatiskt utbyte av upplysningar om finansiella konton
2015:921	2015-12-10	sfs-2015-921	Förordning (2015:921) om identifiering av rapporteringspliktiga konton vid automatiskt utbyte av upplysningar om finansiella konton
2015:922	2015-12-10	sfs-2015-922	Förordning (2015:922) om automatiskt utbyte av upplysningar om finansiella konton
2015:926	2015-12-10	sfs-2015-926	Lag (2015:926) om avtal mellan Sverige och Guatemala om utbyte av upplysningar i skatteärenden
2015:927	2015-12-10	sfs-2015-927	Lag (2015:927) om avtal mellan Sverige och Vanuatu om utbyte av upplysningar i skatteärenden
2015:938	2015-12-10	sfs-2015-938	Förordning (2015:938) om statsbidrag för handledare i specialpedagogik
2015:942	2015-12-10	sfs-2015-942	Tillkännagivande (2015:942) om de EU-bestämmelser som kompletteras av lagen (2006:806) om provtagning på djur, m.m.
2015:943	2015-12-10	sfs-2015-943	Tillkännagivande (2015:943) om de EU-bestämmelser som kompletteras av lagen (2006:807) om kontroll av husdjur, m.m.
2015:953	2015-12-17	sfs-2015-953	Lag (2015:953) om kollektivtrafikresenärers rättigheter
2015:957	2015-12-17	sfs-2015-957	Förordning (2015:957) om tillsyn över transportörers informationsskyldighet enligt lagen (2015:953) om kollektivtrafikresenärers rättigheter
2015:96	2015-02-26	sfs-2015-96	Lag (2015:96) om erkännande och verkställighet av frihetsberövande påföljder inom Europeiska unionen
2015:994	2015-12-17	sfs-2015-994	Förordning (2015:994) om tidsbegränsade tillstånd till att bedriva verksamhet med stödboende
2015:998	2015-12-17	sfs-2015-998	Förordning (2015:998) om statsbidrag till kommuner som bedriver musik- och kulturskoleverksamhet
2016:10	2016-01-21	sfs-2016-10	Förordning (2016:10) om förvaltning av fonden för inre säkerhet
2016:100	2016-02-11	sfs-2016-100	Förordning (2016:100) om statsbidrag för höjda löner till lärare och förskollärare
2016:1013	2016-11-17	sfs-2016-1013	Lag (2016:1013) om personnamn
2016:1019	2016-11-17	sfs-2016-1019	Förordning (2016:1019) om fastställande av omräknade belopp för energiskatt och koldioxidskatt för år 2017
2016:1020	2016-11-17	sfs-2016-1020	Förordning (2016:1020) om fastställande av omräknade belopp för tobaksskatt för år 2017
2016:1021	2016-11-29	sfs-2016-1021	Finansinspektionens tillkännagivande (2016:1021) om ändring av vissa skadelivräntor
2016:1022	2016-11-17	sfs-2016-1022	Förordning (2016:1022) om inkomstgaranti, tjänstepension och vissa försäkringsförmåner för statsråd
2016:1023	2016-11-17	sfs-2016-1023	Förordning (2016:1023) med instruktion för Ekonomistyrningsverket
2016:1024	2016-11-17	sfs-2016-1024	Lag (2016:1024) om verksamhet med bostadskrediter
2016:1033	2016-11-17	sfs-2016-1033	Förordning (2016:1033) om verksamhet med bostadskrediter
2016:1034	2016-11-17	sfs-2016-1034	Förordning (2016:1034) om standardiserat EU-faktablad och beräkning av effektiv ränta vid bostadskrediter
2016:104	2016-02-18	sfs-2016-104	Tillkännagivande (2016:104) av ändring i bihang B till fördraget (2016:104) om internationell järnvägstrafik (COTIF)
2016:1041	2016-11-17	sfs-2016-1041	Förordning (2016:1041) om plastbärkassar
2016:1044	2016-11-17	sfs-2016-1044	Förordning (2016:1044) om arbetstid vid inlandssjöfart
2016:1048	2016-11-17	sfs-2016-1048	Förordning (2016:1048) med instruktion för Myndigheten för tillväxtpolitiska utvärderingar och analyser
2016:105	2016-02-18	sfs-2016-105	Tillkännagivande (2016:105) av ändringar i bihangen D och E till fördraget (2016:105) om internationell järnvägstrafik (COTIF)
2016:1053	2016-11-24	sfs-2016-1053	Lag (2016:1053) om särskild beräkning av vissa avgifter för växa-företag
2016:1057	2016-11-24	sfs-2016-1057	Lag (2016:1057) med kompletterande bestämmelser till EU:s förordning om europeiska politiska partier och europeiska politiska stiftelser
2016:1065	2016-11-24	sfs-2016-1065	Förordning (2016:1065) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2017
2016:1067	2016-11-24	sfs-2016-1067	Lag (2016:1067) om skatt på kemikalier i viss elektronik
2016:1091	2016-11-24	sfs-2016-1091	Lag (2016:1091) om budget och ekonomiadministration för riksdagens myndigheter
2016:1107	2016-11-18	sfs-2016-1107	Försäkringskassans föreskrifter (2016:1107) om procenttal för ändring av vissa underhållsbidrag
2016:1108	2016-11-24	sfs-2016-1108	Lag (2016:1108) om ersättning till riksdagens ledamöter
2016:1109	2016-11-24	sfs-2016-1109	Lag (2016:1109) om stöd till partigrupperna för riksdagsledamöternas arbete i riksdagen
2016:1117	2016-11-24	sfs-2016-1117	Lag (2016:1117) om registrering och hantering av gåvor mottagna av riksdagsledamöter
2016:1122	2016-11-24	sfs-2016-1122	Lag (2016:1122) om skydd för vissa polisiära kännetecken på motorfordon
2016:1128	2016-11-17	sfs-2016-1128	Förordning (2016:1128) om fluorerade växthusgaser
2016:1129	2016-11-17	sfs-2016-1129	Förordning (2016:1129) om ozonnedbrytande ämnen
2016:1135	2016-12-01	sfs-2016-1135	Förordning (2016:1135) om upphävande av Riksskatteverkets föreskrifter om bestämmande av hur stor del av lönefordran som skall vara skyddad mot arbetsgivares kvittning
2016:1136	2016-12-01	sfs-2016-1136	Förordning (2016:1136) om ränta för år 2017 enligt 4 a § lagen (1997:484) om dröjsmålsavgift
2016:1137	2016-12-01	sfs-2016-1137	Förordning (2016:1137) om bemyndigande för Kronofogdemyndigheten att meddela föreskrifter om avräkning vid återbetalning av skatter och avgifter
2016:1143	2016-12-01	sfs-2016-1143	Förordning (2016:1143) om ränta vid betalningsskyldighet för underhållsstöd för år 2017
2016:1145	2016-12-01	sfs-2016-1145	Lag (2016:1145) om offentlig upphandling
2016:1146	2016-12-01	sfs-2016-1146	Lag (2016:1146) om upphandling inom försörjningssektorerna
2016:1147	2016-12-01	sfs-2016-1147	Lag (2016:1147) om upphandling av koncessioner
2016:1162	2016-12-01	sfs-2016-1162	Upphandlingsförordning (2016:1162)
2016:1187	2016-12-01	sfs-2016-1187	Förordning (2016:1187) om ränta på studielån för 2017
2016:1201	2016-12-01	sfs-2016-1201	Förordning (2016:1201) med instruktion för Brottsförebyggande rådet
2016:1204	2016-12-01	sfs-2016-1204	Förordning (2016:1204) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för år 2017
2016:1226	2016-12-08	sfs-2016-1226	Tillkännagivande (2016:1226) av CPV-referensnummer för tjänstekontrakt vid upphandling på försvars- och säkerhets(2016:1226) området
2016:1227	2016-12-08	sfs-2016-1227	Tillkännagivande ( 2016:1227) av de försvarsprodukter som avses i lagen (2016:1145) om offentlig upphandling
2016:1228	2016-12-08	sfs-2016-1228	Tillkännagivande (2016:1228) av CPV-referensnummer för byggentreprenadkontrakt vid offentlig upphandling
2016:1231	2016-12-08	sfs-2016-1231	Lag (2016:1231) om ömsesidigt bistånd med indrivning av vissa sanktionsavgifter vid utstationering
2016:1232	2016-12-08	sfs-2016-1232	Förordning (2016:1232) om ömsesidigt bistånd med indrivning av vissa sanktionsavgifter vid utstationering
2016:1256	2016-12-14	sfs-2016-1256	Lag (2016:1256) om beräkning av uppskovsbelopp i vissa fall
2016:1258	2016-12-14	sfs-2016-1258	Förordning (2016:1258) om regional samordning inom det brottsförebyggande området
2016:1264	2016-12-14	sfs-2016-1264	Förordning (2016:1264) om ersättning för kostnader i samband med vissa identitetskontroller vid transporter som utförs med buss, tåg eller passagerarfartyg till Sverige från en annan stat
2016:1283	2016-12-20	sfs-2016-1283	Förordning (2016:1283) om statligt stöd genom nationellt utvecklingsbolag
2016:130	2016-03-07	sfs-2016-130	H.M. Konungens tillkännagivande (2016:130)
2016:1306	2016-12-20	sfs-2016-1306	Lag (2016:1306) med kompletterande bestämmelser till EU:s marknadsmissbruksförordning
2016:1307	2016-12-20	sfs-2016-1307	Lag (2016:1307) om straff för marknadsmissbruk på värdepappersmarknaden
2016:1316	2016-12-20	sfs-2016-1316	Förordning (2016:1316) med kompletterande bestämmelser till EU:s marknadsmissbruksförordning och EU:s förordning om referensvärden
2016:1317	2016-12-20	sfs-2016-1317	Förordning (2016:1317) om underrättelseskyldighet för åklagare och domstolar i fråga om marknadsmissbruk
2016:1318	2016-12-20	sfs-2016-1318	Förordning (2016:1318) om Finansinspektionens rutiner för mottagande av anmälningar om regelöverträdelser
2016:1332	2016-12-20	sfs-2016-1332	Förordning (2016:1332) med instruktion för Tullverket
2016:1333	2016-12-20	sfs-2016-1333	Förordning (2016:1333) med instruktion för Kronofogdemyndigheten
2016:1363	2016-12-22	sfs-2016-1363	Förordning (2016:1363) om länsstyrelsernas uppdrag avseende insatser för asylsökande och vissa nyanlända invandrare
2016:1364	2016-12-22	sfs-2016-1364	Förordning (2016:1364) om statsbidrag till verksamheter för asylsökande m.fl.
2016:1367	2016-12-22	sfs-2016-1367	Förordning (2016:1367) om statsbidrag till allmänna samlingslokaler
2016:1368	2016-12-22	sfs-2016-1368	Förordning (2016:1368) om extraordinärt anpassningsstöd till mjölkproducenter
2016:137	2016-03-03	sfs-2016-137	Förordning (2016:137) om utvecklingsstöd till tryckta allmänna nyhetstidningar
2016:14	2016-01-21	sfs-2016-14	Tillkännagivande (2016:14) om tröskelvärden vid offentlig upphandling
2016:145	2016-03-03	sfs-2016-145	Lag (2016:145) om erkännande av yrkeskvalifikationer
2016:157	2016-03-03	sfs-2016-157	Förordning (2016:157) om erkännande av yrkeskvalifikationer
2016:187	2016-03-10	sfs-2016-187	Förordning (2016:187) om ekodesign
2016:188	2016-03-10	sfs-2016-188	Lag (2016:188) om patent- och marknadsdomstolar
2016:253	2016-03-17	sfs-2016-253	Tullag (2016:253)
2016:27	2016-02-04	sfs-2016-27	Utlänningsdatalag (2016:27)
2016:287	2016-03-17	sfs-2016-287	Tullförordning (2016:287)
2016:30	2016-02-04	sfs-2016-30	Utlänningsdataförordning (2016:30)
2016:319	2016-03-17	sfs-2016-319	Lag (2016:319) om skydd för geografisk information
2016:320	2016-03-17	sfs-2016-320	Förordning (2016:320) om skydd för geografisk information
2016:329	2016-03-17	sfs-2016-329	Förordning (2016:329) om statsbidrag till skolhuvudmän för insatser inom ramen för samverkan för bästa skola och för att stärka utbildningens kvalitet för nyanlända
